,_id,uid,WHO/organization,WHO/emergency_type,WHO/operation,WHO/email,WHO/focal_point,WHO/partners,WHO/project_name,WHO/description,WHAT/activity_type,WHAT/activities,WHAT/act_desc,WHAT/training,WHAT/channels,WHAT/sectors,WHAT/lang,WHAT/population,WHERE/location,WHEN/status,WHEN/start_date,WHEN/start_end,Adm2,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode
10,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Thyolo,Thyolo,MW307,Southern,MW3
11,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Kasungu,Kasungu,MW201,Central,MW2
12,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Chitipa,Chitipa,MW101,Northern,MW1
13,337288760,20220927095022,Organization 1,Epidemics,COVID-19,org@org.org,Amadou Ndong,Main Org,Fight COVID,Fight covid-19,broad_communication|community_outreach|stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,shows|Mobile_cinema_and_community_theater|authorities_engagement|rumours_tracking|coordination_mechanism_structure|qualitative_and_quantitative_research|training_of_governance_and_partners_staff,All rcce related activities,yes,face_to_face|community_leaders_community|Social_Mobilisation|theater_and_movies|advertising_billborad|paper_based|newspaper|Call_Center|radio|tv|web|social_network|mobile_and_applications|volunteers|field_staff_monitoring|meeting_workshop|other,nutrition|wash|health|education|protection|logistics|telecommunication|early_recovery|cccm|shelter|food_security,English,Women|Men|Girls|Boys|Children|Adolescents|Elderly|PLW,ici,Planned,2022-10-01,2022-12-01,Zomba,Zomba,MW303,Southern,MW3
14,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Zomba,Zomba,MW303,Southern,MW3
15,337713886,20220927095058,Org 2,Natural_Disasters,Floods,rog@org.org,Vincent Turmine,"Org 3, Org 4",Our project name,Our project description,community_outreach|stakeholder_engagement|community_feedback|social_science,Social_Mobilisation|communicating_with_practicians|communication_with_media|suggestions_complains|data_collection_and_survey,Our activities description,no,face_to_face|community_leaders_community|radio|tv|social_network|mobile_and_applications|volunteers,health|food_security,Chichewa|English,Women|Girls|Boys|Adolescents|Elderly|PLW,La bas,Completed,2022-01-01,2022-05-01,Mwanza,Mwanza,MW306,Southern,MW3
16,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Karonga,Karonga,MW102,Northern,MW1
17,337713886,20220927095058,Org 2,Natural_Disasters,Floods,rog@org.org,Vincent Turmine,"Org 3, Org 4",Our project name,Our project description,community_outreach|stakeholder_engagement|community_feedback|social_science,Social_Mobilisation|communicating_with_practicians|communication_with_media|suggestions_complains|data_collection_and_survey,Our activities description,no,face_to_face|community_leaders_community|radio|tv|social_network|mobile_and_applications|volunteers,health|food_security,Chichewa|English,Women|Girls|Boys|Adolescents|Elderly|PLW,La bas,Completed,2022-01-01,2022-05-01,Neno,Neno,MW313,Southern,MW3
18,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Likoma,Likoma,MW106,Northern,MW1
19,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Mchinji,Mchinji,MW207,Central,MW2
20,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Mzimba,Mzimba,MW105,Northern,MW1
21,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Nkhotakota,Nkhotakota,MW202,Central,MW2
22,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Ntcheu,Ntcheu,MW209,Central,MW2
23,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Mangochi,Mangochi,MW301,Southern,MW3
24,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Ntchisi,Ntchisi,MW203,Central,MW2
25,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Nsanje,Nsanje,MW311,Southern,MW3
26,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Chikwawa,Chikwawa,MW310,Southern,MW3
27,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Chiradzulu,Chiradzulu,MW304,Southern,MW3
28,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Machinga,Machinga,MW302,Southern,MW3
29,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Mulanje,Mulanje,MW308,Southern,MW3
